Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Dee Strange-Gordon,Right,Left,2018,845,0.27926528,0.647273448,0.536363636,0.222727272,0.21181556,0.034319526,0.13964497,Dee Strange-Gordon,8203,543829
Derek Dietrich,Right,Left,2018,790,0.336193057,0.779553165,0.372708757,0.221995926,0.38539554,0.079746835,0.241772151,Derek Dietrich,10542,518618
Dexter Fowler,Right,Left,2018,807,0.309315689,0.708698111,0.38,0.226,0.33466135,0.118959107,0.246592317,Dexter Fowler,4062,451594
Didi Gregorius,Right,Left,2018,1298,0.318478002,0.752965613,0.354104846,0.209693372,0.30844794,0.069337442,0.1394453,Didi Gregorius,6012,544369
DJ Stewart,Right,Left,2018,645,0.339106918,0.790126264,0.37087912,0.151098901,0.34688347,0.127131782,0.282170542,DJ Stewart,17766,621466
Dominic Smith,Right,Left,2018,1323,0.315122316,0.732091836,0.381778741,0.223427331,0.32286024,0.067271352,0.216175359,Dominic Smith,15653,642086
Dylan Carlson,Right,Left,2020,1103,0.294429943,0.671758372,0.413554633,0.211618257,0.29452055,0.089755213,0.227561196,Dylan Carlson,20126,666185
Eddie Rosario,Right,Left,2018,1988,0.328364747,0.781856545,0.352272727,0.205882352,0.35685752,0.058853118,0.185110663,Eddie Rosario,12155,592696
Eduardo Escobar,Right,Left,2018,2072,0.312347228,0.740133505,0.316631871,0.237995824,0.33078527,0.08011583,0.222490347,Eduardo Escobar,6153,500871
Ehire Adrianza,Right,Left,2018,724,0.292300068,0.674587265,0.367469879,0.251004016,0.3280943,0.077348066,0.20718232,Ehire Adrianza,8418,501303
Ender Inciarte,Right,Left,2018,850,0.29782977,0.682381831,0.4384,0.2224,0.28951487,0.087058823,0.152941176,Ender Inciarte,4922,542255
Eric Hosmer,Right,Left,2018,1828,0.331526103,0.776060421,0.550156739,0.202194357,0.34350548,0.086980306,0.209518599,Eric Hosmer,3516,543333
Eric Sogard,Right,Left,2018,669,0.287423057,0.664572466,0.367265469,0.253493013,0.2890625,0.074738415,0.153961136,Eric Sogard,7927,519299
Eric Thames,Right,Left,2018,761,0.340556995,0.812587792,0.353773584,0.205188679,0.45990566,0.105124835,0.320630749,Eric Thames,3711,519346
Franchy Cordero,Right,Left,2018,576,0.29924702,0.692269623,0.444108761,0.22960725,0.38988095,0.086805555,0.329861111,Franchy Cordero,14567,614173
Francisco Lindor,Right,Left,2018,2515,0.339132441,0.798973625,0.382369455,0.210555867,0.36024499,0.090656063,0.183300198,Francisco Lindor,12916,596019
Francisco Mejía,Right,Left,2018,740,0.286805864,0.67012127,0.370808678,0.167652859,0.3072407,0.044594594,0.241891891,Francisco Mejia,16403,642336
Freddie Freeman,Right,Left,2018,2712,0.405887875,0.970604821,0.367325702,0.28251821,0.41883455,0.131268436,0.150442477,Freddie Freeman,5361,518692
Freddy Galvis,Right,Left,2018,1258,0.296581387,0.689257107,0.411552346,0.198555956,0.36470588,0.07472178,0.23926868,Freddy Galvis,6609,520471
Gavin Lux,Right,Left,2019,773,0.325722615,0.74866309,0.460377358,0.222641509,0.33584906,0.100905562,0.209573091,Gavin Lux,19955,666158
Gavin Sheets,Right,Left,2021,849,0.313315527,0.726206537,0.394779771,0.158238172,0.31107492,0.077738515,0.191990577,Gavin Sheets,19901,657757
Geraldo Perdomo,Right,Left,2021,806,0.293405305,0.650326896,0.394736842,0.188259109,0.2594697,0.126550868,0.207196029,Geraldo Perdomo,22799,672695
Gerardo Parra,Right,Left,2018,658,0.317559157,0.738387523,0.413276231,0.271948608,0.33611691,0.072948328,0.186930091,Gerardo Parra,8553,467827
Greg Allen,Right,Left,2018,577,0.303702599,0.695916606,0.436170212,0.218085106,0.3494898,0.058925476,0.220103986,Greg Allen,16623,656185
Greg Garcia,Right,Left,2018,576,0.304937248,0.682604355,0.506849315,0.219178082,0.30870712,0.125,0.201388888,Greg Garcia,10951,594824
Gregory Polanco,Right,Left,2018,928,0.317930534,0.7554933,0.337288135,0.179661016,0.38682432,0.100215517,0.257543103,Gregory Polanco,12907,570256
Gunnar Henderson,Right,Left,2022,561,0.372328374,0.882642381,0.454545454,0.198347107,0.43526171,0.09090909,0.256684491,Gunnar Henderson,26289,683002
Harold Castro,Right,Left,2018,1269,0.299889862,0.694137176,0.453488372,0.278012684,0.30125523,0.037825059,0.20646178,Harold Castro,14691,605612
Ian Happ,Right,Left,2018,2050,0.3513795,0.818758213,0.419171405,0.21039805,0.34090909,0.131707317,0.259512195,Ian Happ,17919,664023
Ildemaro Vargas,Right,Left,2018,559,0.270369879,0.615671485,0.574279379,0.190687361,0.26236559,0.060822898,0.103756708,Ildemaro Vargas,13324,545121
J.P. Crawford,Right,Left,2018,1830,0.32997636,0.750486366,0.418439716,0.22931442,0.26692607,0.113661202,0.171584699,J.P. Crawford,15491,641487
Jace Peterson,Right,Left,2018,1253,0.299830215,0.676016572,0.415384615,0.211538461,0.3001261,0.115722266,0.242617717,Jace Peterson,12325,607054
Jack Suwinski,Right,Left,2022,663,0.355838303,0.831391402,0.296495956,0.183288409,0.37466307,0.137254901,0.294117647,Jack Suwinski,22244,669261
Jackie Bradley Jr.,Right,Left,2018,1648,0.286382074,0.66040757,0.45724907,0.195167286,0.35424354,0.078276699,0.248786407,Jackie Bradley Jr.,12984,598265
Jake Bauers,Right,Left,2018,1066,0.298681987,0.680914649,0.376377952,0.222047244,0.34321373,0.121951219,0.271106941,Jake Bauers,15194,641343
Jake Cave,Right,Left,2018,955,0.313654954,0.729245395,0.445392491,0.226962457,0.38095238,0.073298429,0.292146596,Jake Cave,14477,595909
Jake Cronenworth,Right,Left,2020,1414,0.330959144,0.769515669,0.37487733,0.210009813,0.27961165,0.099717114,0.153465346,Jake Cronenworth,18036,630105
Jake Fraley,Right,Left,2019,789,0.347826054,0.805125121,0.368725868,0.231660231,0.28901734,0.116603295,0.21546261,Jake Fraley,19260,641584
Jake Lamb,Right,Left,2018,764,0.293966546,0.665918533,0.416299559,0.200440528,0.43956044,0.113874345,0.27617801,Jake Lamb,13329,571875
Jake McCarthy,Right,Left,2021,526,0.314257515,0.710611627,0.49122807,0.216374269,0.24099723,0.077946768,0.2243346,Jake McCarthy,21622,664983
Jared Walsh,Right,Left,2019,973,0.339286324,0.802093019,0.431666666,0.206666666,0.37209302,0.07913669,0.290853031,Jared Walsh,18607,665120
Jarred Kelenic,Right,Left,2021,680,0.300569679,0.69592046,0.4,0.210126582,0.33670886,0.102941176,0.310294117,Jarred Kelenic,22558,672284
Jarren Duran,Right,Left,2021,578,0.327819715,0.761667549,0.436657681,0.221024258,0.35978836,0.062283737,0.269896193,Jarren Duran,24617,680776
Jarrod Dyson,Right,Left,2018,759,0.251889099,0.563711486,0.475095785,0.210727969,0.24640288,0.097496706,0.168642951,Jarrod Dyson,4866,502481
Jason Castro,Right,Left,2018,565,0.321026017,0.745375447,0.355263157,0.263157894,0.4557377,0.127433628,0.325663716,Jason Castro,8722,488771
Jason Heyward,Right,Left,2018,1752,0.32918028,0.763188531,0.451792828,0.187250996,0.32378679,0.105593607,0.164954337,Jason Heyward,4940,518792
Jason Kipnis,Right,Left,2018,887,0.319220819,0.745999984,0.354200988,0.212520593,0.37277147,0.098083427,0.19729425,Jason Kipnis,9776,543401
Jay Bruce,Right,Left,2018,618,0.306470154,0.736576538,0.311904761,0.192857142,0.39047619,0.088996763,0.228155339,Jay Bruce,9892,457803
Jazz Chisholm Jr.,Right,Left,2020,896,0.344324326,0.807448835,0.437158469,0.196721311,0.3600713,0.080357142,0.285714285,Jazz Chisholm Jr.,20454,665862
Jed Lowrie,Right,Left,2018,940,0.327760585,0.755093487,0.346333853,0.218408736,0.35614308,0.111702127,0.2,Jed Lowrie,4418,476704
Jeff McNeil,Right,Left,2018,1909,0.351585953,0.816971356,0.415343915,0.218253968,0.30203546,0.064955474,0.113672079,Jeff McNeil,15362,643446
Jeimer Candelario,Right,Left,2018,2122,0.316383218,0.727308171,0.389296187,0.215542521,0.32699342,0.103204524,0.238454288,Jeimer Candelario,13621,600869
Jesse Winker,Right,Left,2018,1695,0.36340936,0.841044798,0.405172413,0.250862068,0.37919175,0.129203539,0.169911504,Jesse Winker,13590,608385
Jesús Sánchez,Right,Left,2020,837,0.334692565,0.77997668,0.473584905,0.205660377,0.35969868,0.096774193,0.260454002,Jesus Sanchez,19913,660821
Ji Man Choi,Right,Left,2018,1399,0.348022816,0.812033413,0.409681227,0.229043683,0.40989399,0.140100071,0.246604717,Ji Man Choi,5452,596847
Joc Pederson,Right,Left,2018,2096,0.353757306,0.839064513,0.382501807,0.179320318,0.42037303,0.09971374,0.216125954,Joc Pederson,11899,592626
Joe Panik,Right,Left,2018,950,0.279017375,0.636986911,0.448094612,0.23653088,0.3254902,0.078947368,0.110526315,Joe Panik,11936,605412
