Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Cameron Maybin,Right,Right,2018,503,0.322931106,0.741990023,0.462025316,0.240506329,0.36050157,0.099403578,0.258449304,Cameron Maybin,5223,457727
Carlos Correa,Right,Right,2018,2038,0.330830249,0.772707085,0.448023426,0.197657393,0.35724744,0.092737978,0.229146221,Carlos Correa,14162,621043
Carson Kelly,Right,Right,2018,925,0.276550619,0.63026496,0.404838709,0.191935483,0.33173077,0.096216216,0.218378378,Carson Kelly,13620,608348
Chad Pinder,Right,Right,2018,747,0.277386058,0.640746874,0.471193415,0.199588477,0.32244898,0.052208835,0.281124497,Chad Pinder,15191,640461
Chas McCormick,Right,Right,2021,841,0.314703207,0.719474392,0.438247011,0.199203187,0.31372549,0.091557669,0.286563614,Chas McCormick,19599,676801
Chris Taylor,Right,Right,2018,1750,0.327342182,0.754851163,0.350687622,0.263261296,0.33624031,0.091428571,0.304,Chris Taylor,13757,621035
Christian Arroyo,Right,Right,2018,547,0.309926729,0.71427311,0.495,0.2,0.30693069,0.054844606,0.188299817,Christian Arroyo,16434,624414
Christian Vázquez,Right,Right,2018,1609,0.291528638,0.668204991,0.427969671,0.232518955,0.27401838,0.062771908,0.187072715,Christian Vazquez,9774,543877
Christian Walker,Right,Right,2018,1935,0.336130158,0.788628858,0.397553516,0.184250764,0.3853211,0.085788113,0.225839793,Christian Walker,13419,572233
Christopher Morel,Right,Right,2022,634,0.33869972,0.790463721,0.467213114,0.166666666,0.38709677,0.08044164,0.328075709,Christopher Morel,21897,666624
Clint Frazier,Right,Right,2018,513,0.33036397,0.763217567,0.407407407,0.212121212,0.30976431,0.116959064,0.288499025,Clint Frazier,15983,640449
Connor Joe,Right,Right,2019,731,0.318279957,0.717232789,0.397435897,0.237179487,0.31276596,0.112175102,0.229822161,Connor Joe,16572,656582
Curt Casali,Right,Right,2018,643,0.298731437,0.67900954,0.32722513,0.240837696,0.33074935,0.107309486,0.275272161,Curt Casali,12510,592200
Danny Jansen,Right,Right,2018,960,0.327674377,0.761583378,0.35660091,0.195751138,0.37405732,0.084375,0.204166666,Danny Jansen,16535,643376
Dansby Swanson,Right,Right,2018,2575,0.322876977,0.751767748,0.404973357,0.211367673,0.35276796,0.083106796,0.248932038,Dansby Swanson,18314,621020
David Bote,Right,Right,2018,827,0.311797402,0.719228244,0.497120921,0.186180422,0.35440613,0.096735187,0.255139056,David Bote,14593,623520
David Fletcher,Right,Right,2018,1465,0.287996036,0.656748428,0.457190357,0.243557772,0.21212121,0.053924914,0.109215017,David Fletcher,17992,664058
Delino DeShields,Right,Right,2018,656,0.276630309,0.608484538,0.484375,0.223958333,0.27336449,0.108231707,0.233231707,Delino DeShields,11379,592261
DJ LeMahieu,Right,Right,2018,2355,0.327785359,0.754207772,0.531160663,0.211549456,0.31207289,0.091295116,0.157537154,DJ LeMahieu,9874,518934
Domingo Santana,Right,Right,2018,597,0.327941776,0.764604227,0.455331412,0.250720461,0.43227666,0.090452261,0.319932998,Domingo Santana,10348,570267
Donovan Solano,Right,Right,2019,978,0.327938677,0.747826759,0.413432835,0.262686567,0.32238806,0.072597137,0.216768916,Donovan Solano,8623,456781
Dylan Moore,Right,Right,2019,727,0.296952944,0.673124049,0.338582677,0.175853018,0.25515464,0.093535075,0.335625859,Dylan Moore,18042,664238
Edmundo Sosa,Right,Right,2018,536,0.303390716,0.691449698,0.518918918,0.189189189,0.25935829,0.042910447,0.21641791,Edmundo Sosa,17022,624641
Edward Olivares,Right,Right,2020,512,0.313049741,0.723786176,0.4609375,0.203125,0.30310881,0.048828125,0.18359375,Edward Olivares,19698,658668
Edwin Encarnación,Right,Right,2018,931,0.337855344,0.80131188,0.347682119,0.195364238,0.40066225,0.091299677,0.241675617,Edwin Encarnacion,2151,429665
Elias Díaz,Right,Right,2018,1342,0.30248536,0.697189163,0.466460268,0.185758513,0.32955716,0.071535022,0.199701937,Elias Diaz,11680,553869
Eloy Jiménez,Right,Right,2019,1344,0.349248322,0.825492536,0.491024287,0.18373812,0.39809926,0.063244047,0.229166666,Eloy Jimenez,17484,650391
Elvis Andrus,Right,Right,2018,1898,0.291138844,0.668348519,0.504388926,0.191087103,0.31628533,0.05532139,0.153319283,Elvis Andrus,8709,462101
Enrique Hernández,Right,Right,2018,1620,0.298394636,0.691590123,0.36347826,0.193043478,0.32755633,0.074691358,0.202469135,Enrique Hernandez,10472,571771
Eric Haase,Right,Right,2018,732,0.279721715,0.641157334,0.412393162,0.194444444,0.30063966,0.069672131,0.285519125,Eric Haase,14111,606992
Erik González,Right,Right,2018,519,0.239182707,0.55199062,0.554644808,0.202185792,0.2722372,0.04238921,0.236994219,Erik Gonzalez,13369,570481
Eugenio Suárez,Right,Right,2018,2538,0.336834995,0.791258191,0.350819672,0.207868852,0.38688525,0.094956658,0.286840031,Eugenio Suarez,12552,553993
Evan Longoria,Right,Right,2018,1337,0.302049474,0.70396631,0.425364758,0.197530864,0.39842873,0.071054599,0.252804786,Evan Longoria,9368,446334
Fernando Tatis Jr.,Right,Right,2019,1375,0.365497696,0.871163815,0.464852607,0.19047619,0.45423729,0.084363636,0.265454545,Fernando Tatis Jr.,19709,665487
Franmil Reyes,Right,Right,2018,1513,0.320052858,0.755908183,0.479956663,0.185265438,0.42145179,0.073364177,0.313945803,Franmil Reyes,14566,614177
Garrett Cooper,Right,Right,2018,1317,0.32959531,0.757188884,0.501213592,0.233009708,0.34101942,0.08959757,0.268033409,Garrett Cooper,15279,643265
Garrett Hampson,Right,Right,2018,1003,0.278425411,0.639182279,0.444256756,0.195945945,0.29225908,0.073778664,0.289132602,Garrett Hampson,19262,641658
Gary Sánchez,Right,Right,2018,1593,0.305741656,0.712876814,0.396303901,0.165297741,0.37679671,0.092278719,0.278719397,Gary Sanchez,11442,596142
George Springer,Right,Right,2018,2247,0.356376485,0.834721914,0.436432637,0.191650853,0.35800127,0.095238095,0.186025812,George Springer,12856,543807
Giancarlo Stanton,Right,Right,2018,1742,0.335658807,0.787067062,0.458742632,0.167976424,0.39587426,0.103903559,0.30424799,Giancarlo Stanton,4949,519317
Gio Urshela,Right,Right,2018,1367,0.330841139,0.770557326,0.428290766,0.235756385,0.3280943,0.062911485,0.186539868,Gio Urshela,10681,570482
Gleyber Torres,Right,Right,2018,2245,0.328510552,0.763480557,0.391167192,0.209463722,0.32997481,0.086859688,0.2,Gleyber Torres,16997,650402
Guillermo Heredia,Right,Right,2018,605,0.271653457,0.610559897,0.426315789,0.210526315,0.25449871,0.09090909,0.242975206,Guillermo Heredia,18721,628338
Hanser Alberto,Right,Right,2018,776,0.257497066,0.598126729,0.462025316,0.207278481,0.22857143,0.025773195,0.106958762,Hanser Alberto,11902,593643
Harold Ramírez,Right,Right,2019,1188,0.309400269,0.71858934,0.539313399,0.173864894,0.3089701,0.041245791,0.18013468,Harold Ramirez,14387,623912
Harrison Bader,Right,Right,2018,1514,0.29359765,0.675740163,0.416666666,0.178861788,0.3046953,0.073976221,0.247688243,Harrison Bader,18030,664056
Ha-Seong Kim,Right,Right,2021,1037,0.295267087,0.665553652,0.405755395,0.192805755,0.265625,0.093539054,0.216972034,Ha-Seong Kim,27506,673490
Hunter Dozier,Right,Right,2018,1672,0.308485994,0.723707633,0.382727272,0.202727272,0.3760218,0.069976076,0.265550239,Hunter Dozier,15117,641531
Hunter Renfroe,Right,Right,2018,1874,0.319171449,0.754245584,0.397590361,0.167871485,0.37820513,0.068836712,0.260939167,Hunter Renfroe,15464,592669
Ian Desmond,Right,Right,2018,712,0.289809311,0.6698255,0.575824175,0.189010989,0.34868421,0.084269662,0.266853932,Ian Desmond,6885,435622
Ian Kinsler,Right,Right,2018,593,0.30879892,0.715416768,0.385964912,0.197368421,0.30131004,0.072512647,0.145025295,Ian Kinsler,6195,435079
Isaac Paredes,Right,Right,2020,853,0.326536011,0.752357271,0.372649572,0.17094017,0.30769231,0.101992966,0.189917936,Isaac Paredes,20036,670623
Isiah Kiner-Falefa,Right,Right,2018,1717,0.288533443,0.654843349,0.549846625,0.207055214,0.26172466,0.053581828,0.163657542,Isiah Kiner-Falefa,16512,643396
J.D. Davis,Right,Right,2018,1232,0.337692448,0.77798084,0.497991967,0.226238286,0.34939759,0.097402597,0.275974025,J.D. Davis,16219,605204
J.D. Martinez,Right,Right,2018,2374,0.360546051,0.855221214,0.406430868,0.226366559,0.42572347,0.088879528,0.248104465,J.D. Martinez,6184,502110
J.T. Realmuto,Right,Right,2018,2158,0.343612129,0.806341045,0.428189712,0.197060788,0.36873747,0.072289156,0.216867469,J.T. Realmuto,11739,592663
Jacob Stallings,Right,Right,2018,1103,0.280705593,0.629367909,0.436213991,0.205761316,0.27913279,0.094288304,0.227561196,Jacob Stallings,13723,607732
JaCoby Jones,Right,Right,2018,761,0.29720546,0.693913289,0.433628318,0.225663716,0.33479212,0.06044678,0.316688567,JaCoby Jones,14818,592444
Jake Burger,Right,Right,2021,564,0.331074285,0.777933905,0.455307262,0.189944134,0.37047354,0.053191489,0.289007092,Jake Burger,22275,669394
Jake Marisnick,Right,Right,2018,552,0.288232082,0.669772097,0.409230769,0.215384615,0.30654762,0.050724637,0.317028985,Jake Marisnick,11339,545350
James McCann,Right,Right,2018,1278,0.288311314,0.665913027,0.451690821,0.211352657,0.34647551,0.0571205,0.276212832,James McCann,12859,543510
Javier Báez,Right,Right,2018,2379,0.306457209,0.722989699,0.489456869,0.176996805,0.32063492,0.038251366,0.286254728,Javier Baez,12979,595879
Jean Segura,Right,Right,2018,1987,0.3041977,0.695332712,0.54481434,0.187580025,0.28389561,0.056366381,0.139909411,Jean Segura,5933,516416
Jeremy Peña,Right,Right,2022,865,0.291586318,0.665785137,0.515410958,0.188356164,0.27824621,0.056647398,0.240462427,Jeremy Pena,21636,665161
