Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,LD%,GB%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Wil Myers,Left,Right,2018,591,0.353158307,0.830961532,0.222222222,0.415954415,0.40677966,0.116751269,0.284263959,Wil Myers,10047,571976
Will Smith,Left,Right,2019,527,0.339701417,0.799477235,0.211111111,0.302777777,0.33611111,0.119544592,0.185958254,Will Smith,19197,669257
Willi Castro,Left,Right,2019,435,0.300882002,0.689875402,0.214723926,0.475460122,0.23030303,0.048275862,0.181609195,Willi Castro,17338,650489
William Contreras,Left,Right,2020,332,0.429775105,1.015758392,0.186915887,0.537383177,0.39069767,0.123493975,0.222891566,William Contreras,20503,661388
Willson Contreras,Left,Right,2018,645,0.366673575,0.864639236,0.190123456,0.41728395,0.39655172,0.110077519,0.243410852,Willson Contreras,11609,575929
Willy Adames,Left,Right,2018,839,0.30583367,0.711728981,0.206896551,0.381338742,0.40725806,0.104886769,0.302741358,Willy Adames,15986,642715
Wilmer Flores,Left,Right,2018,861,0.341096479,0.803190219,0.211800302,0.32526475,0.32980333,0.073170731,0.148664343,Wilmer Flores,5827,527038
Wilson Ramos,Left,Right,2018,326,0.361725621,0.852739797,0.233333333,0.483333333,0.35416667,0.095092024,0.168711656,Wilson Ramos,1433,467092
Xander Bogaerts,Left,Right,2018,916,0.375418869,0.882093343,0.214733542,0.440438871,0.37304075,0.116812227,0.185589519,Xander Bogaerts,12161,593428
Yadier Molina,Left,Right,2018,384,0.338663485,0.787086925,0.259136212,0.332225913,0.36877076,0.072916666,0.127604166,Yadier Molina,7007,425877
Yan Gomes,Left,Right,2018,591,0.350974922,0.834062125,0.253424657,0.349315068,0.37813212,0.0642978,0.182741116,Yan Gomes,9627,543228
Yandy Díaz,Left,Right,2018,712,0.385219197,0.905163728,0.186180422,0.495201535,0.40882917,0.125,0.141853932,Yandy Diaz,16578,650490
Yasiel Puig,Left,Right,2018,306,0.304532463,0.711535708,0.207547169,0.41981132,0.3317757,0.08496732,0.205882352,Yasiel Puig,14225,624577
Yasmani Grandal,Left,Right,2018,646,0.364189901,0.839439683,0.225543478,0.377717391,0.39837398,0.190402476,0.235294117,Yasmani Grandal,11368,518735
Yoán Moncada,Left,Right,2018,698,0.316471515,0.728229904,0.231527093,0.460591133,0.30712531,0.090257879,0.315186246,Yoan Moncada,17232,660162
Yolmer Sánchez,Left,Right,2018,292,0.270356802,0.607856243,0.198952879,0.486910994,0.27272727,0.08219178,0.236301369,Yolmer Sanchez,11602,570560
Yonathan Daza,Left,Right,2019,316,0.314161437,0.722150006,0.231075697,0.55378486,0.27734375,0.050632911,0.139240506,Yonathan Daza,15794,602074
Yu Chang,Left,Right,2019,286,0.258737768,0.58790826,0.212290502,0.391061452,0.29608939,0.069930069,0.293706293,Yu Chang,14773,644374
Yuli Gurriel,Left,Right,2018,907,0.347659959,0.820522438,0.21143617,0.341755319,0.31914894,0.079382579,0.089305402,Yuli Gurriel,19198,493329
