Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,LD%,GB%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
José Ramírez,Left,Right,2018,1053,0.346694182,0.833947289,0.16967509,0.351383874,0.35336538,0.089268755,0.113010446,Jose Ramirez,13510,608070
Jose Trevino,Left,Right,2018,295,0.309988504,0.720631151,0.226890756,0.415966386,0.30705394,0.047457627,0.128813559,Jose Trevino,16725,624431
Josh Bell,Left,Right,2018,964,0.338680598,0.790458946,0.181818181,0.477657935,0.34976888,0.125518672,0.196058091,Josh Bell,13145,605137
Josh Donaldson,Left,Right,2018,588,0.3633941,0.853710066,0.147826086,0.475362318,0.43188406,0.156462585,0.244897959,Josh Donaldson,5038,518626
Josh Harrison,Left,Right,2018,486,0.29708217,0.678188346,0.212534059,0.435967302,0.29891304,0.041152263,0.16255144,Josh Harrison,8202,543281
Juan Lagares,Left,Right,2018,261,0.285475378,0.675292813,0.175824175,0.445054945,0.34594595,0.057471264,0.229885057,Juan Lagares,5384,501571
Julio Rodríguez,Left,Right,2022,304,0.357981615,0.837147214,0.239361702,0.430851063,0.34042553,0.088815789,0.289473684,Julio Rodriguez,23697,677594
Jurickson Profar,Left,Right,2018,814,0.324789023,0.746021087,0.228758169,0.426470588,0.31158238,0.101965601,0.138820638,Jurickson Profar,10815,595777
Justin Smoak,Left,Right,2018,372,0.296134622,0.666897552,0.1953125,0.43359375,0.28515625,0.110215053,0.190860215,Justin Smoak,9054,475253
Justin Turner,Left,Right,2018,871,0.371213638,0.873972747,0.2247557,0.307817589,0.46091205,0.105625717,0.174512055,Justin Turner,5235,457759
Justin Upton,Left,Right,2018,423,0.291940363,0.671828104,0.154811715,0.430962343,0.39748954,0.108747044,0.319148936,Justin Upton,5222,457708
Ke'Bryan Hayes,Left,Right,2020,480,0.347509032,0.813904494,0.196236559,0.5,0.37634409,0.0625,0.158333333,Ke'Bryan Hayes,18577,663647
Keibert Ruiz,Left,Right,2021,295,0.301227224,0.682086167,0.213438735,0.442687747,0.23228346,0.054237288,0.06779661,Keibert Ruiz,19610,660688
Keston Hiura,Left,Right,2019,314,0.266068986,0.606020135,0.248407643,0.382165605,0.29936306,0.085987261,0.394904458,Keston Hiura,20003,669374
Ketel Marte,Left,Right,2018,903,0.40424039,0.964177787,0.19972067,0.451117318,0.40782123,0.069767441,0.124031007,Ketel Marte,13613,606466
Kevin Newman,Left,Right,2018,582,0.317156492,0.731659099,0.256355932,0.402542372,0.26652893,0.068728522,0.087628865,Kevin Newman,17696,621028
Kevin Pillar,Left,Right,2018,652,0.317852083,0.766534188,0.220703125,0.361328125,0.37764933,0.033742331,0.165644171,Kevin Pillar,12434,607680
Kevin Plawecki,Left,Right,2018,268,0.290911457,0.662245452,0.179104477,0.472636815,0.27722772,0.067164179,0.167910447,Kevin Plawecki,13807,608700
Khris Davis,Left,Right,2018,427,0.348652808,0.826168247,0.207407407,0.392592592,0.42962963,0.121779859,0.234192037,Khris Davis,9112,501981
Kris Bryant,Left,Right,2018,557,0.400494371,0.959192285,0.236263736,0.324175824,0.38461538,0.116696588,0.220825852,Kris Bryant,15429,592178
Kurt Suzuki,Left,Right,2018,355,0.341344557,0.794845443,0.208178438,0.371747211,0.32352941,0.064788732,0.138028169,Kurt Suzuki,8259,435559
Kyle Farmer,Left,Right,2018,543,0.356175111,0.829773615,0.237974683,0.402531645,0.39240506,0.066298342,0.186003683,Kyle Farmer,14813,571657
Kyle Higashioka,Left,Right,2018,265,0.305629332,0.726959504,0.195767195,0.301587301,0.42857143,0.033962264,0.249056603,Kyle Higashioka,5517,543309
Lane Thomas,Left,Right,2019,491,0.374844377,0.88066817,0.216292134,0.404494382,0.35854342,0.085539714,0.187372708,Lane Thomas,16939,657041
Leody Taveras,Left,Right,2020,351,0.282141464,0.638757763,0.191964285,0.526785714,0.30869565,0.071225071,0.27065527,Leody Taveras,18900,665750
Leury García,Left,Right,2018,493,0.311446833,0.724487962,0.202247191,0.530898876,0.27688172,0.032454361,0.202839756,Leury Garcia,5913,544725
Lewis Brinson,Left,Right,2018,357,0.29535064,0.690186577,0.187234042,0.480851063,0.35146444,0.06722689,0.25490196,Lewis Brinson,14352,621446
Logan Forsythe,Left,Right,2018,304,0.257886792,0.57271727,0.195876288,0.417525773,0.41752577,0.108552631,0.25,Logan Forsythe,7185,523253
Lorenzo Cain,Left,Right,2018,473,0.330138839,0.760739399,0.24858757,0.449152542,0.39265537,0.112050739,0.139534883,Lorenzo Cain,9077,456715
Lourdes Gurriel Jr.,Left,Right,2018,668,0.343915142,0.812541317,0.229838709,0.451612903,0.36820926,0.052395209,0.19760479,Lourdes Gurriel Jr.,19238,666971
Luis Rengifo,Left,Right,2019,527,0.325212553,0.756874494,0.182278481,0.440506329,0.30673317,0.055028462,0.174573055,Luis Rengifo,19858,650859
Luis Robert Jr.,Left,Right,2020,325,0.41252558,0.978719396,0.218181818,0.4,0.33636364,0.067692307,0.236923076,Luis Robert Jr.,20043,673357
Luis Torrens,Left,Right,2019,286,0.317498327,0.748593511,0.192893401,0.441624365,0.39086294,0.059440559,0.248251748,Luis Torrens,15905,620443
Luis Urías,Left,Right,2018,425,0.345627425,0.795439817,0.221830985,0.429577464,0.32167832,0.082352941,0.214117647,Luis Urias,16622,649966
Luke Voit,Left,Right,2018,530,0.315635593,0.728619063,0.252459016,0.33114754,0.35737705,0.107547169,0.303773584,Luke Voit,14811,572228
Maikel Franco,Left,Right,2018,533,0.280435542,0.665159513,0.218045112,0.438596491,0.30576441,0.078799249,0.168855534,Maikel Franco,12179,596748
Manny Machado,Left,Right,2018,928,0.381636616,0.910239076,0.184911242,0.383136094,0.37869822,0.122844827,0.144396551,Manny Machado,11493,592518
Manny Piña,Left,Right,2018,286,0.331168133,0.773824561,0.227979274,0.352331606,0.31443299,0.094405594,0.206293706,Manny Pina,2829,444489
Manuel Margot,Left,Right,2018,728,0.322817859,0.746697959,0.219330855,0.423791821,0.33938294,0.081043956,0.159340659,Manuel Margot,14712,622534
Marcell Ozuna,Left,Right,2018,629,0.343271849,0.810691712,0.209932279,0.406320541,0.39954853,0.082670906,0.209856915,Marcell Ozuna,10324,542303
Marcus Semien,Left,Right,2018,1089,0.344650476,0.803736337,0.213093709,0.351732991,0.35943517,0.101928374,0.177226813,Marcus Semien,12533,543760
Mark Canha,Left,Right,2018,943,0.348641629,0.811010017,0.182662538,0.404024767,0.35139319,0.115588547,0.17921527,Mark Canha,11445,592192
