Name,Team,Name,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Albert Pujols,- - -,Albert Pujols,2018,1205,0.292685951,0.680456431,0.421775898,0.181818181,0.38160677,0.063900414,0.13692946,Albert Pujols,1177,405395
Alcides Escobar,- - -,Alcides Escobar,2018,715,0.277314789,0.632522796,0.451376146,0.223853211,0.25,0.05034965,0.149650349,Alcides Escobar,6310,444876
Alec Bohm,PHI,Alec Bohm,2020,1317,0.294362078,0.668640098,0.491735537,0.237603305,0.2964876,0.062262718,0.19514047,Alec Bohm,21618,664761
Aledmys Díaz,- - -,Aledmys Díaz,2018,1191,0.308868916,0.720634071,0.429978118,0.210065645,0.30895197,0.04617968,0.16540722,Aledmys Diaz,15937,649557
Alejandro Kirk,TOR,Alejandro Kirk,2020,873,0.329472843,0.745448419,0.484626647,0.197657393,0.33967789,0.105383734,0.100801832,Alejandro Kirk,22581,672386
Alex Bregman,HOU,Alex Bregman,2018,2313,0.373695513,0.86842306,0.353297035,0.201451905,0.35550181,0.139213143,0.130134025,Alex Bregman,17678,608324
Alex Call,- - -,Alex Call,2022,352,0.278231368,0.606507438,0.393805309,0.159292035,0.24050633,0.113636363,0.190340909,Alex Call,19296,669743
Amed Rosario,- - -,Amed Rosario,2018,2287,0.290157218,0.672737852,0.508690614,0.205677867,0.27572254,0.041976388,0.195452557,Amed Rosario,15518,642708
Andrelton Simmons,- - -,Andrelton Simmons,2018,1171,0.282835076,0.646248486,0.532157676,0.174273858,0.28804903,0.056362083,0.101622544,Andrelton Simmons,10847,592743
Andrew Knizner,STL,Andrew Knizner,2019,584,0.293338469,0.659631877,0.473282442,0.17048346,0.29292929,0.085616438,0.217465753,Andrew Knizner,19514,668800
Andrew McCutchen,- - -,Andrew McCutchen,2018,1933,0.32055308,0.727909276,0.421988682,0.195634599,0.35084883,0.130367304,0.221417485,Andrew McCutchen,9847,457705
Andrew Vaughn,CHW,Andrew Vaughn,2021,1233,0.313595518,0.723160514,0.459613196,0.195676905,0.33447099,0.0567721,0.210867802,Andrew Vaughn,26197,683734
Andy Ibáñez,- - -,Andy Ibáñez,2021,524,0.296189569,0.675966995,0.455919395,0.151133501,0.28822055,0.070610687,0.164122137,Andy Ibanez,18819,628451
Anthony Rendon,- - -,Anthony Rendon,2018,1503,0.369314932,0.866203538,0.34355275,0.218214607,0.37927928,0.107119095,0.138389886,Anthony Rendon,12861,543685
Anthony Volpe,NYY,Anthony Volpe,2023,467,0.273129729,0.623798027,0.419795221,0.221843003,0.34693878,0.077087794,0.282655246,Anthony Volpe,27647,683011
Aristides Aquino,CIN,Aristides Aquino,2018,477,0.312610244,0.745087832,0.341726618,0.197841726,0.32374101,0.07966457,0.333333333,Aristides Aquino,15482,606157
Austin Barnes,LAD,Austin Barnes,2018,785,0.281034459,0.62824314,0.452,0.178,0.27810651,0.108280254,0.228025477,Austin Barnes,12158,605131
Austin Hays,BAL,Austin Hays,2019,1288,0.32211435,0.746689027,0.440265486,0.185840707,0.3061674,0.057453416,0.222826086,Austin Hays,19363,669720
Austin Hedges,- - -,Austin Hedges,2018,1159,0.245927629,0.565473116,0.372311827,0.190860215,0.28571429,0.056945642,0.261432269,Austin Hedges,12976,595978
Austin Nola,- - -,Austin Nola,2019,779,0.298359602,0.672079953,0.430188679,0.211320754,0.28200371,0.092426187,0.193838254,Austin Nola,15941,543592
Austin Riley,ATL,Austin Riley,2019,1983,0.35252132,0.827787453,0.394290123,0.227623456,0.384734,0.071608673,0.254160363,Austin Riley,18360,663586
Austin Romine,- - -,Austin Romine,2018,623,0.263401153,0.611221147,0.493765586,0.174563591,0.3226601,0.04494382,0.300160513,Austin Romine,5491,519222
Austin Slater,SFG,Austin Slater,2018,610,0.285307885,0.637871406,0.551401869,0.239875389,0.31402439,0.104918032,0.345901639,Austin Slater,16153,596103
Austin Wynns,- - -,Austin Wynns,2018,430,0.269244942,0.615319844,0.496688741,0.182119205,0.28846154,0.053488372,0.213953488,Austin Wynns,15271,642851
